STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	261.606060606061	292.50505050505	361.020202020202	148.545454545455	368.685193863402	440.512616175624	543.670968333112	244.787037690901	99	3	1	0	9.67192023014169
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1625	2187	2539	1210	0	0	0	0	1	3	1	0	1
4	1781.61904761905	2262.09523809524	2632.33333333333	1200.28571428571	551.610184534478	741.142259890309	826.341710204568	506.711279215046	21	3	1	0	3.06954063537833
5	1789.28571428571	2384.85714285714	2875.28571428571	1358.14285714286	685.437860950568	1097.07070075223	1222.59907156677	770.871200761363	7	3	1	0	2
6	232.272727272728	250.681818181818	297.136363636364	106.090909090909	60.1934623316187	66.8420856254385	72.1441643827253	35.4517814576928	44	3	1	0	2
7	488.525	539.6375	644.2625	237.775	240.870963402508	317.187271431299	340.244221161162	163.06686601682	80	3	1	0	5.10618148243398
8	530.812499999999	605.4375	675.687499999999	290.1875	474.849376246328	634.303680651622	681.254196916225	330.453530809258	16	3	1	0	2.01324980562747
9	651.028571428572	754.6	913.514285714286	327.457142857143	254.04931787626	328.020728723073	381.889044743784	138.118165491118	35	3	1	0	2.35617690176818
10	883.714285714286	956.142857142857	1173.57142857143	459	194.135618492195	295.476616706649	311.209702907338	167.694722636104	7	3	1	0	2
